file	utterances	with_markers	⌈	⌉	⌊	⌋	cross_pairs	timed_pairs	temporal_ok	quality
M004	387	116	59	59	58	58	58	0	0	fully_paired
M005	294	63	34	34	33	33	32	0	0	fully_paired
M006	544	256	140	140	131	131	130	0	0	mixed
M007	391	152	81	81	79	79	79	0	0	fully_paired
M008	331	130	70	70	67	67	67	0	0	mixed
M009	738	321	173	173	166	166	165	0	0	mixed
M010	250	38	20	20	19	19	19	0	0	fully_paired
M011	403	130	69	69	68	68	67	0	0	fully_paired
M012	181	72	40	40	38	38	38	0	0	fully_paired
M013	414	175	93	92	92	92	92	0	0	fully_paired
M014	490	234	129	129	127	127	125	0	0	fully_paired
M015	460	166	89	89	89	89	89	0	0	fully_paired
M016	1350	846	469	469	461	461	450	0	0	mixed
M017	175	86	50	50	48	48	48	0	0	fully_paired
M018	411	180	100	100	100	100	100	0	0	fully_paired
M019	464	210	114	114	115	115	114	0	0	fully_paired
M020	303	142	80	80	77	77	76	0	0	mixed
M021	433	131	73	73	66	66	62	0	0	mixed
M022	313	110	58	58	59	59	57	0	0	fully_paired
M023	337	102	56	56	55	55	53	0	0	fully_paired
M024	506	348	208	208	201	201	200	0	0	mixed
M025	262	102	56	56	56	56	55	0	0	fully_paired
M026	366	164	91	91	92	92	91	0	0	fully_paired
M027	410	188	109	109	105	106	95	0	0	mixed

=== Bergmann ===
  Files total:        78
  Files with markers: 78
  Fully paired:       66 (85%)
  Mixed:              2
  Open only:          10
  Cross-speaker pairs: 346
  Timed pairs:        0

=== Business ===
  Files total:        27
  Files with markers: 27
  Fully paired:       26 (96%)
  Mixed:              1
  Open only:          0
  Cross-speaker pairs: 435
  Timed pairs:        0

=== CLAPI ===
  Files total:        15
  Files with markers: 15
  Fully paired:       6 (40%)
  Mixed:              7
  Open only:          2
  Cross-speaker pairs: 1678
  Timed pairs:        0

=== CMU/05 ===
  Files total:        2
  Files with markers: 2
  Fully paired:       2 (100%)
  Mixed:              0
  Open only:          0
  Cross-speaker pairs: 27
  Timed pairs:        25
  Temporally consistent: 25 (100%)

=== CMU/08 ===
  Files total:        5
  Files with markers: 5
  Fully paired:       2 (40%)
  Mixed:              0
  Open only:          3
  Cross-speaker pairs: 26
  Timed pairs:        25
  Temporally consistent: 24 (96%)

=== CMU/10 ===
  Files total:        1
  Files with markers: 1
  Fully paired:       0 (0%)
  Mixed:              0
  Open only:          1
  Cross-speaker pairs: 16
  Timed pairs:        2
  Temporally consistent: 2 (100%)

=== CallFriend/eng-n ===
  Files total:        29
  Files with markers: 29
